"land_km2"	"sweet_h2o_km2"	"salt_h2o_km2"
"Alajärvi"	1008.75	47.99	0
"Alavieska"	251.37	1.65	0
"Alavus"	1087.31	64.15	0
"Asikkala"	563.35	192.2	0
"Askola"	212.42	5.61	0
"Aura"	95	0.58	0
"Akaa"	293.15	21.24	0
"Brändö"	107.88	0.38	1534.8
"Eckerö"	107.72	1.46	643.49
"Enonkoski"	305.55	113.64	0
"Enontekiö"	7950.4	440.95	0
"Espoo"	312.22	18.01	197.8
"Eura"	578.81	51.39	0
"Eurajoki"	345.64	3.67	294.47
"Evijärvi"	354.13	36.58	0
"Finström"	123.26	6.89	42.34
"Forssa"	248.78	4.61	0
"Föglö"	134.71	0.26	1734.1
"Geta"	84.5400000000001	2.91	518.53
"Haapajärvi"	765.74	23.37	0
"Haapavesi"	1049.78	36.33	0
"Hailuoto"	201.21	1.69	879.8
"Halsua"	413.01	15.33	0
"Hamina"	609.71	23.13	522.28
"Hammarland"	138.34	1.92	1083.92
"Hankasalmi"	571.71	116.04	0
"Hanko"	116.92	2.04	681.03
"Harjavalta"	123.46	4.28	0
"Hartola"	542.95	132.43	0
"Hattula"	357.81	69.58	0
"Hausjärvi"	389.32	9.46	0
"Heinävesi"	1029.96	289.62	0
"Helsinki"	214.21	0.91	500.36
"Vantaa"	238.36	1.98	0
"Hirvensalmi"	465.25	281.34	0
"Hollola"	650.97	76.5	0
"Honkajoki"	331.37	1.77	0
"Huittinen"	532.63	6.96	0
"Humppila"	147.96	0.64	0
"Hyrynsalmi"	1421.01	100.36	0
"Hyvinkää"	322.66	14.11	0
"Hämeenkyrö"	463.84	41.26	0
"Hämeenlinna"	1785.03	246.49	0
"Heinola"	676.07	163.21	0
"Ii"	1553.18	50.23	1205.9
"Iisalmi"	762.97	109.21	0
"Iitti"	589.78	97.31	0
"Ikaalinen"	750.37	93.03	0
"Ilmajoki"	576.78	2.9	0
"Ilomantsi"	2763.48	409.21	0
"Inari"	15055.1	2278.55	0
"Inkoo"	349.89	8.1	596.03
"Isojoki"	642.38	5.05	0
"Isokyrö"	354.13	2.78	0
"Imatra"	155.01	36.27	0
"Janakkala"	547.46	38.61	0
"Joensuu"	2381.69	369.38	0
"Jokioinen"	180.42	1.52	0
"Jomala"	142.55	1.75	542.7
"Joroinen"	575.13	136.63	0
"Joutsa"	867.11	199.31	0
"Juankoski"	465.27	120.99	0
"Juuka"	1501.7	344.86	0
"Juupajoki"	258.5	16.45	0
"Juva"	1162.92	182.78	0
"Jyväskylä"	1170.93	295.42	0
"Jämijärvi"	214.35	9.98	0
"Jämsä"	1571.23	252.54	0
"Järvenpää"	37.54	2.39	0
"Kaarina"	150.42	1.05	28.11
"Kaavi"	674.02	115.57	0
"Kajaani"	1834.94	429.06	0
"Kalajoki"	922.46	7.16	1461.68
"Kangasala"	658.04	212.81	0
"Kangasniemi"	1068.87	257.88	0
"Kankaanpää"	689.41	15.33	0
"Kannonkoski"	445	104.88	0
"Kannus"	468.23	2.42	0
"Karijoki"	185.76	0.78	0
"Karkkila"	242.36	12.96	0
"Karstula"	887.07	76.12	0
"Karvia"	502.13	17.76	0
"Kaskinen"	10.63	0.15	164.58
"Kauhajoki"	1298.98	16.57	0
"Kauhava"	1313.41	14.67	0
"Kauniainen"	5.89	0.11	0
"Kaustinen"	353.97	7.15	0
"Keitele"	481.78	96.54	0
"Kemi"	95.38	7.38	644.52
"Keminmaa"	626.3	20.92	0.01
"Kempele"	110.11	0.21	0.03
"Kerava"	30.63	0.16	0
"Keuruu"	1257.97	172.59	0
"Kihniö"	357.1	33.4	0
"Kinnula"	460.19	35.53	0
"Kirkkonummi"	366.15	27.39	623.47
"Kitee"	1253.6	470.81	0
"Kittilä"	8094.25	168.68	0
"Kiuruvesi"	1328.13	94.77	0
"Kivijärvi"	483.94	115.93	0
"Kokemäki"	480.35	50.92	0
"Kokkola"	1445.01	42.01	1243.78
"Kolari"	2559.03	58.74	0
"Konnevesi"	512.96	167.89	0
"Kontiolahti"	799.18	230.64	0
"Korsnäs"	235.78	3.9	1185.02
"KoskiTl"	191.46	0.96	0
"Kotka"	272.01	5.73	672.04
"Kouvola"	2558.37	324.92	0
"Kristiinankaupunki"	683.03	14.51	981.44
"Kruunupyy"	712.68	39.03	0.94
"Kuhmo"	4806.31	650.47	0
"Kuhmoinen"	660.96	275.72	0
"Kumlinge"	99.09	0.39	766.4
"Kuopio"	2775.73	964.37	0
"Kuortane"	462.16	22.72	0
"Kurikka"	1724.16	19.7	0
"Kustavi"	165.83	1.88	602.39
"Kuusamo"	4977.13	831.79	0
"Outokumpu"	445.81	138.24	0
"Kyyjärvi"	448.22	21.4	0
"Kärkölä"	256.48	2.82	0
"Kärsämäki"	695.94	4.96	0
"Kökar"	63.6199999999999	0.38	2101.02
"Kemijärvi"	3504.99	425.92	0
"Kemiönsaari"	686.96	10.99	2103.26
"Lahti"	459.43	58.2	0
"Laihia"	504.3	4.14	0
"Laitila"	531.66	13.67	0
"Lapinlahti"	1096.53	148.61	0
"Lappajärvi"	420.14	102.84	0
"Lappeenranta"	1433.44	290.11	0
"Lapinjärvi"	329.87	9.44	0
"Lapua"	738.15	13.65	0
"Laukaa"	648.4	177.19	0
"Lemi"	217.87	44.61	0
"Lemland"	113.23	0.87	851.2
"Lempäälä"	269.54	37.52	0
"Leppävirta"	1136.01	383.64	0
"Lestijärvi"	480.65	78.41	0
"Lieksa"	3418.06	649.54	0
"Lieto"	300.46	2.1	0
"Liminka"	637.03	5.55	9.13
"Liperi"	726.9	434.33	0
"Loimaa"	848.11	3.82	0
"Loppi"	597.53	58.44	0
"Loviisa"	819.76	25.78	905.98
"Luhanka"	214.53	98.72	0
"Lumijoki"	213.85	0.25	76.19
"Lumparland"	36.35	0.04	50.65
"Luoto"	142.45	34.1	676.73
"Luumäki"	750.08	109.76	0
"Luvia"	169.13	2.46	689.61
"Lohja"	939.14	170.59	0
"Parainen"	882.700000000001	7.36	4658.03
"Maalahti"	521.3	4.11	1429.53
"Maarianhamina"	11.8	0	8.95
"Marttila"	195.28	0.71	0
"Masku"	174.86	1.18	27.98
"Merijärvi"	229.88	1.75	0
"Merikarvia"	446.08	4.58	795.56
"Miehikkälä"	422.26	18.09	0
"Mikkeli"	2548.46	681.11	0
"Muhos"	783.65	13.62	0
"Multia"	733.26	32.36	0
"Muonio"	1904.1	133.69	0
"Mustasaari"	848.83	17.46	2312.32
"Muurame"	144.06	49.99	0
"Mynämäki"	519.86	2.57	13.66
"Myrskylä"	200.35	6	0
"Mäntsälä"	580.86	15.25	0
"Mäntyharju"	980.91	230.07	0
"Mänttä-Vilppula"	535	122.23	0
"Naantali"	311.9	4.03	372.04
"Nakkila"	182.91	1.97	0
"Nivala"	527.87	9.01	0
"Nokia"	288.19	59.56	0
"Nousiainen"	198.97	0.58	0
"Nurmes"	1601.04	253.76	0
"Nurmijärvi"	361.86	5.4	0
"Närpiö"	977.52	7.9	1348.72
"Orimattila"	785.14	28.87	0
"Oripää"	117.61	0.11	0
"Orivesi"	799.63	160.45	0
"Oulainen"	587.79	9.74	0
"Oulu"	3031.64	82.13	766.85
"Padasjoki"	523.14	206.72	0
"Paimio"	238.36	1.66	2.24
"Paltamo"	918.38	220.74	0
"Parikkala"	592.89	167.83	0
"Parkano"	852.07	57.6	0
"Pelkosenniemi"	1836.17	45.4	0
"Perho"	747.83	27.36	0
