"change"	"2016"	"Muncipality"
"1"	-32.2517482517483	2422	"Hyrynsalmi"
"2"	-30.6535947712418	1061	"Savukoski"
"3"	-29.774854540855	2776	"Puolanka"
"4"	-29.6476306196841	1737	"Rautavaara"
"5"	-29.5329930043486	3727	"Salla"
"6"	-27.7110676719724	7766	"Kemijärvi"
"7"	-27.4415692821369	3477	"Posio"
"8"	-26.7932915740554	3623	"Pello"
"9"	-26.6428375034369	5336	"Ilomantsi"
"10"	-26.4501160092807	317	"Kumlinge"
"11"	-26.3843648208469	2260	"Puumala"
"12"	-26.2899262899263	1200	"Kivijärvi"
"13"	-26.013143483023	1351	"Ristijärvi"
"14"	-25.9457755359395	2349	"Rääkkylä"
"15"	-25.809896760413	8336	"Suomussalmi"
"16"	-25.7129047849203	3074	"Vaala"
"17"	-24.740932642487	2324	"Valtimo"
"18"	-24.6324312806307	3537	"Rautjärvi"
"19"	-24.6068593679796	5034	"Juuka"
"20"	-24.5210727969349	1379	"Kyyjärvi"
"21"	-24.1488519398258	958	"Pelkosenniemi"
"22"	-24.0799716914367	4291	"Ylitornio"
"23"	-23.9485754893727	11772	"Lieksa"
"24"	-23.8174735670562	1369	"Karijoki"
"25"	-23.7465329635161	3574	"Heinävesi"
"26"	-23.7262737262737	1527	"Siikainen"
"27"	-23.5330836454432	1225	"Halsua"
"28"	-23.5253054101222	2191	"Vesanto"
"29"	-23.4206471494607	2982	"Hartola"
"30"	-23.3752927400468	5235	"Parikkala"
"31"	-23.0022075055188	3488	"Paltamo"
"32"	-22.8391828182294	1473	"Enonkoski"
"33"	-22.7919285478002	2334	"Kuhmoinen"
"34"	-22.7517294388932	4020	"Ranua"
"35"	-22.7156898434656	2123	"Isojoki"
"36"	-22.6795344876526	2724	"Sulkava"
"37"	-22.5242718446602	798	"Lestijärvi"
"38"	-22.4004229820233	8806	"Kuhmo"
"39"	-22.2302854378326	3215	"Lappajärvi"
"40"	-21.7692688562469	4740	"Pielavesi"
"41"	-21.750516884907	5677	"Siikalatva"
"42"	-21.1981566820277	1710	"Multia"
"43"	-21.1885656970913	3143	"Padasjoki"
"44"	-20.9384998222538	2224	"Soini"
"45"	-20.8319467554077	2379	"Keitele"
"46"	-20.7190511489993	4278	"Sonkajärvi"
"47"	-20.6232199698442	4738	"Tohmajärvi"
"48"	-20.4035451631152	4221	"Pihtipudas"
"49"	-20.397489539749	761	"Luhanka"
"50"	-20	1608	"Tervo"
"51"	-19.8717948717949	250	"Kökar"
"52"	-19.7535150147544	4623	"Ruovesi"
"53"	-19.7521865889213	5505	"Pyhäjärvi"
"54"	-19.668603400043	3733	"Rantasalmi"
"55"	-19.6209800918836	4199	"Taivalkoski"
"56"	-19.6081341843551	10832	"Kitee"
"57"	-19.4032859590767	7996	"Nurmes"
"58"	-19.3995381062356	1745	"Kinnula"
"59"	-19.294301632294	8257	"Pudasjärvi"
"60"	-19.2484509294423	4040	"Sysmä"
"61"	-19.2333557498319	4804	"Juankoski"
"62"	-19.1753098912219	3195	"Tervola"
"63"	-19.1246684350133	3049	"Punkalaidun"
"64"	-19.091206276561	2475	"Karvia"
"65"	-18.997668997669	2085	"Miehikkälä"
"66"	-18.9479060265577	1587	"Pyhäntä"
"67"	-18.8841201716738	1134	"Merijärvi"
