"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"
"Akaa"	15954	15945	16022	16117	16269	16324	16422	16586	16738	16837	16858	17012	17091	17134	17108	17052	17043
"Alajärvi"	11624	11503	11341	11185	11075	11027	10910	10768	10698	10634	10573	10487	10327	10268	10227	10171	10006
"Alavieska"	2990	2940	2902	2898	2891	2894	2854	2827	2817	2759	2776	2770	2750	2761	2740	2687	2687
"Alavus"	13174	13135	13040	12925	12897	12880	12868	12791	12788	12706	12586	12439	12385	12341	12228	12103	12044
"Asikkala"	8636	8644	8680	8648	8554	8547	8560	8597	8663	8604	8551	8552	8498	8461	8405	8374	8287
"Askola"	4360	4389	4421	4446	4474	4530	4555	4627	4711	4761	4831	4864	4911	4988	4991	5064	5104
"Aura"	3316	3338	3378	3457	3514	3620	3699	3750	3823	3852	3840	3911	3975	3971	3962	3982	3986
"Brändö"	517	514	501	502	515	516	519	520	510	518	498	488	480	476	475	474	470
"Eckerö"	846	830	839	884	895	897	925	929	923	921	924	943	978	960	947	932	935
"Enonkoski"	1909	1871	1819	1793	1747	1738	1713	1696	1677	1651	1617	1615	1566	1532	1522	1503	1473
"Enontekiö"	2225	2145	2100	2073	2022	1998	2000	1997	1965	1915	1882	1876	1893	1880	1891	1890	1861
"Espoo"	209667	213271	216836	221597	224231	227472	231704	235019	238047	241565	244330	247970	252439	256824	260753	265543	269802
"Eura"	13121	12957	12883	12843	12779	12793	12807	12769	12676	12576	12554	12507	12424	12406	12368	12314	12128
"Eurajoki"	5929	5910	5791	5760	5774	5796	5834	5843	5854	5871	5874	5923	5844	5922	5931	5954	5938
"Evijärvi"	3117	3067	3027	2990	2985	2935	2916	2854	2827	2780	2772	2755	2747	2686	2685	2651	2576
"Finström"	2277	2299	2304	2332	2371	2399	2441	2464	2457	2483	2486	2502	2527	2531	2520	2535	2522
"Forssa"	18644	18506	18311	18201	18104	18076	17918	17894	17835	17870	17807	17904	17833	17727	17667	17521	17422
"Föglö"	600	595	589	600	608	607	596	583	582	576	561	580	577	578	572	568	554
"Geta"	482	478	476	470	461	461	444	448	443	456	457	475	492	495	500	494	500
"Haapajärvi"	8300	8236	8179	8153	8083	8013	7882	7848	7850	7771	7714	7639	7609	7641	7616	7479	7438
"Haapavesi"	8075	7983	7894	7851	7818	7753	7680	7529	7515	7493	7396	7418	7384	7283	7241	7175	7167
"Hailuoto"	976	966	972	968	979	986	964	998	987	1028	1019	1004	1004	986	999	997	993
"Halsua"	1602	1547	1536	1499	1498	1456	1441	1405	1379	1351	1323	1289	1275	1248	1229	1222	1225
"Hamina"	21986	21847	21705	21720	21763	21887	21957	21826	21737	21570	21483	21400	21403	21256	21203	21061	20851
"Hammarland"	1348	1351	1373	1379	1365	1387	1384	1423	1409	1440	1463	1508	1526	1522	1540	1531	1537
"Hankasalmi"	5832	5745	5706	5621	5590	5600	5588	5556	5506	5526	5514	5542	5491	5453	5404	5307	5240
"Hanko"	10184	10044	10008	9999	9918	9905	9827	9725	9708	9657	9597	9462	9417	9267	9109	9021	8864
"Harjavalta"	8003	7877	7766	7721	7738	7745	7673	7700	7646	7580	7548	7540	7504	7486	7407	7366	7296
"Hartola"	3894	3837	3818	3783	3740	3692	3671	3572	3572	3466	3388	3355	3292	3205	3098	3071	2982
"Hattula"	9120	9131	9151	9165	9199	9281	9332	9445	9444	9571	9625	9657	9682	9720	9684	9738	9747
"Hausjärvi"	8097	8107	8173	8171	8290	8343	8419	8536	8574	8647	8826	8815	8807	8866	8808	8815	8729
"Heinola"	21351	21178	20958	20940	20887	20910	20729	20604	20612	20545	20374	20258	20164	20051	19979	19695	19575
"Heinävesi"	4687	4578	4529	4514	4451	4403	4311	4239	4152	4065	3975	3912	3827	3742	3667	3638	3574
"Helsinki"	551123	555474	559718	559716	559330	559046	560905	564521	568531	576632	583350	588549	595384	603968	612664	620715	628208
"Hirvensalmi"	2683	2666	2644	2613	2610	2579	2579	2569	2515	2489	2436	2439	2389	2377	2338	2326	2290
"Hollola"	22384	22592	22616	22719	22932	23165	23390	23441	23659	23883	23971	24106	24150	24150	24073	23996	23915
"Honkajoki"	2201	2170	2144	2104	2083	2023	2011	1985	1932	1918	1889	1878	1848	1832	1819	1788	1793
"Huittinen"	11039	10983	10955	10895	10852	10851	10768	10741	10699	10703	10700	10663	10638	10623	10543	10487	10473
"Humppila"	2590	2586	2626	2610	2584	2595	2600	2582	2566	2537	2524	2506	2503	2496	2463	2440	2388
"Hyrynsalmi"	3575	3486	3371	3299	3212	3148	3096	3015	2967	2877	2791	2736	2672	2603	2565	2490	2422
