"change"	"population"	"land_km2"	"lake_km2"	"sea_km2"	"density"	"education"	"tightness"	"violence"	"crime"	"income_support"	"dependency"	"low_income"	"labour_support"
"Espoo"	28.6811944655096	269802	312.22	18.01	197.8	864.140670040356	468	10.4	4.9	35.5	103	65	120	9
"Hyrynsalmi"	-32.2517482517483	2422	1421.01	100.36	0	1.70442150301546	241	5.6	7.8	17.8	61	114	30	97
"Ilomantsi"	-26.6428375034369	5336	2763.48	409.21	0	1.93089872190137	241	8.5	3.2	15.6	60	125	28	16
"Jomala"	41.3625304136253	4648	142.55	1.75	542.7	32.6061031217117	306	8.1	5.8	14.8	3	72	45	2
"Juuka"	-24.6068593679796	5034	1501.7	344.86	0	3.35220083904908	244	9.8	6.2	18.5	118	112	38	47
"Kemijärvi"	-27.7110676719724	7766	3504.99	425.92	0	2.21569819029441	279	5.2	7.1	24.6	83	117	18	59
"Kempele"	41.1930172913047	17066	110.11	0.21	0.03	154.990464081373	410	9	5.2	28.4	44	95	104	71
"Kirkkonummi"	32.0204953031597	38649	366.15	27.39	623.47	105.555100368701	417	10	4.9	37.5	79	73	82	14
"Kivijärvi"	-26.2899262899263	1200	483.94	115.93	0	2.47964623713684	213	9.6	4.2	4.2	85	134	30	41
"Kontiolahti"	30.8072342302603	14827	799.18	230.64	0	18.5527665857504	386	11	3.3	14.6	55	77	122	69
"Kyyjärvi"	-24.5210727969349	1379	448.22	21.4	0	3.07661416268797	228	8.7	2.9	15.2	43	130	26	56
"Lemland"	28.2034771410174	1991	113.23	0.87	851.2	17.5836792369514	308	8.9	2	12.1	42	70	54	2
"Lempäälä"	41.1676271611125	22536	269.54	37.52	0	83.609111820138	411	9.9	4.5	33.1	80	94	120	78
"Luoto"	26.9297163995068	5147	142.45	34.1	676.73	36.1319761319762	316	19.3	2.7	12	4	111	102	15
"Masku"	27.8956384240348	9706	174.86	1.18	27.98	55.5072629532197	376	7.6	1.4	12.4	5	90	62	140
"Muurame"	23.8426511510245	9791	144.06	49.99	0	67.9647369151742	413	9.4	5.3	21.3	49	91	101	48
"Mäntsälä"	26.4132494041435	20685	580.86	15.25	0	35.6109906001446	323	10.3	3.6	31.9	43	88	122	57
"Nokia"	24.2441272338991	33162	288.19	59.56	0	115.06991915056	351	9	6.5	34.8	63	93	135	7
"Nurmijärvi"	29.5716715633215	41897	361.86	5.4	0	115.782346763942	369	10.8	3.4	22	51	75	64	138
"Oulu"	26.5159288031252	198525	3031.64	82.13	766.85	65.4843583011176	419	7.7	7.1	53.5	86	66	23	17
"Pello"	-26.7932915740554	3623	1737.65	126.07	0	2.08499985612753	267	5.5	4.7	19.3	83	127	13	109
"Pirkkala"	53.0425635216054	18913	81.43	22.61	0	232.260837529166	436	9.1	3.1	38	55	87	84	68
"Pornainen"	26.8250433061123	5125	146.52	3.57	0	34.97815997816	328	12.1	3.5	12.1	34	74	121	20
"Posio"	-27.4415692821369	3477	3039.12	505.78	0	1.14408118139461	246	6.9	6.6	9.2	99	110	29	115
"Puolanka"	-29.774854540855	2776	2461.25	137.43	0	1.12788217369223	239	6.7	9	14.8	80	108	32	89
"Puumala"	-26.3843648208469	2260	794.5	443.25	0	2.84455632473254	265	6.4	5.8	35.8	35	131	19	10
"Rautavaara"	-29.6476306196841	1737	1150.97	84.29	0	1.50916183740671	206	10.4	2.3	19	119	132	36	139
"Rautjärvi"	-24.6324312806307	3537	351.59	50.3	0	10.060013083421	244	6	2.3	18.4	46	113	24	137
"Ristijärvi"	-26.013143483023	1351	835.58	62.35	0	1.61684099667297	272	6.4	10.4	18.5	51	126	19	58
"Rääkkylä"	-25.9457755359395	2349	427.66	272.02	0	5.49268110180985	253	9.3	5.5	18.7	52	125	40	129
"Salla"	-29.5329930043486	3727	5730.06	143.02	0	0.650429489394526	244	7	3.8	9.9	53	117	22	133
"Savukoski"	-30.6535947712418	1061	6438.65	57.3	0	0.164786096464321	275	5.6	1.9	11.3	81	105	39	8
"Siuntio"	31.1412812897751	6182	241.08	8.88	16.15	25.6429401028704	379	9.6	2.7	19.6	35	76	100	31
"Suomussalmi"	-25.809896760413	8336	5270.79	586.83	0	1.58154659927639	262	6.1	5.3	17.5	86	107	27	37
"Tyrnävä"	37.1492025035332	6793	491.81	3.05	0	13.8122445659909	334	17.3	4.6	9	60	116	25	21
"Vaala"	-25.7129047849203	3074	1302.11	461.92	0	2.36078365115082	263	7.9	9.8	29.6	135	124	25	67
"Valtimo"	-24.740932642487	2324	800.31	37.76	0	2.90387474853494	244	9.1	3.4	12.9	50	123	33	106
"Vesilahti"	32.3798289590091	4489	300.92	53.02	0	14.9175860693872	376	9.4	3.1	13.1	35	96	6	128
"Ylöjärvi"	30.5863581970483	32738	1115.72	208.42	0	29.3424873624207	368	9.9	4.6	26.4	61	92	136	11
