"Koulutustasomittain"	"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista"	"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta"	"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta"
"Espoo"	468	10.4	4.9	35.5
"Hyrynsalmi"	241	5.6	7.8	17.8
"Ilomantsi"	241	8.5	3.2	15.6
"Jomala"	306	8.1	5.8	14.8
"Juuka"	244	9.8	6.2	18.5
"Kemijärvi"	279	5.2	7.1	24.6
"Kempele"	410	9	5.2	28.4
"Kirkkonummi"	417	10	4.9	37.5
"Kivijärvi"	213	9.6	4.2	4.2
"Kontiolahti"	386	11	3.3	14.6
"Kumlinge"	242	9.3	NA	6.3
"Kyyjärvi"	228	8.7	2.9	15.2
"Lemland"	308	8.9	2	12.1
"Lempäälä"	411	9.9	4.5	33.1
"Luoto"	316	19.3	2.7	12
"Masku"	376	7.6	1.4	12.4
"Muurame"	413	9.4	5.3	21.3
"Mäntsälä"	323	10.3	3.6	31.9
"Nokia"	351	9	6.5	34.8
"Nurmijärvi"	369	10.8	3.4	22
"Oulu"	419	7.7	7.1	53.5
"Pello"	267	5.5	4.7	19.3
"Pirkkala"	436	9.1	3.1	38
"Pornainen"	328	12.1	3.5	12.1
"Posio"	246	6.9	6.6	9.2
"Puolanka"	239	6.7	9	14.8
"Puumala"	265	6.4	5.8	35.8
"Rautavaara"	206	10.4	2.3	19
"Rautjärvi"	244	6	2.3	18.4
"Ristijärvi"	272	6.4	10.4	18.5
"Rääkkylä"	253	9.3	5.5	18.7
"Salla"	244	7	3.8	9.9
"Savukoski"	275	5.6	1.9	11.3
"Siuntio"	379	9.6	2.7	19.6
"Suomussalmi"	262	6.1	5.3	17.5
"Tyrnävä"	334	17.3	4.6	9
"Vaala"	263	7.9	9.8	29.6
"Valtimo"	244	9.1	3.4	12.9
"Vesilahti"	376	9.4	3.1	13.1
"Ylöjärvi"	368	9.9	4.6	26.4
