"Toimeentulotukea saaneet henkilöt vuoden aikana,  % asukkaista"	"Huoltosuhde, demografinen"	"Kunnan yleinen pienituloisuusaste"	"Kunnan osarahoittama työmarkkinatuki, 1000 euroa"
"Espoo"	103	65	120	9
"Hyrynsalmi"	61	114	30	97
"Ilomantsi"	60	125	28	16
"Jomala"	3	72	45	2
"Juuka"	118	112	38	47
"Kemijärvi"	83	117	18	59
"Kempele"	44	95	104	71
"Kirkkonummi"	79	73	82	14
"Kivijärvi"	85	134	30	41
"Kontiolahti"	55	77	122	69
"Kumlinge"	1	98	12	2
"Kyyjärvi"	43	130	26	56
"Lemland"	42	70	54	2
"Lempäälä"	80	94	120	78
"Luoto"	4	111	102	15
"Masku"	5	90	62	140
"Muurame"	49	91	101	48
"Mäntsälä"	43	88	122	57
"Nokia"	63	93	135	7
"Nurmijärvi"	51	75	64	138
"Oulu"	86	66	23	17
"Pello"	83	127	13	109
"Pirkkala"	55	87	84	68
"Pornainen"	34	74	121	20
"Posio"	99	110	29	115
"Puolanka"	80	108	32	89
"Puumala"	35	131	19	10
"Rautavaara"	119	132	36	139
"Rautjärvi"	46	113	24	137
"Ristijärvi"	51	126	19	58
"Rääkkylä"	52	125	40	129
"Salla"	53	117	22	133
"Savukoski"	81	105	39	8
"Siuntio"	35	76	100	31
"Suomussalmi"	86	107	27	37
"Tyrnävä"	60	116	25	21
"Vaala"	135	124	25	67
"Valtimo"	50	123	33	106
"Vesilahti"	35	96	6	128
"Ylöjärvi"	61	92	136	11
